Sergei Fironov,Yandex (Russia),RU,"Machine Learning in Bioinformatics
Metabolomics and Mass Spectrometry Studies
Traditional Chinese Medicine Studies","Analysis of the Human Protein Atlas Image Classification competition (141 citations)
Author Correction: Analysis of the Human Protein Atlas Image Classification competition (2 citations)
ProtBoost: protein function prediction with Py-Boost and Graph Neural Networks -- CAFA5 top2 solution (1 citations)"
Sergey A. Ermilov,Independent University of Moscow,RU,"Photoacoustic and Ultrasonic Imaging
Optical Imaging and Spectroscopy Techniques
Thermography and Photoacoustic Techniques","Laser optoacoustic imaging system for detection of breast cancer (494 citations)
Whole-body three-dimensional optoacoustic tomography system for small animals (302 citations)
An Imaging Model Incorporating Ultrasonic Transducer Properties for Three-Dimensional Optoacoustic Tomography (166 citations)"
С. В. Галкин,Institute of Oceanology. PP Shirshov Russian Academy of Sciences,RU,"Marine Biology and Ecology Research
Marine and environmental studies
Food Industry and Aquatic Biology","The James Webb Space Telescope Mission (488 citations)
The Science Performance of JWST as Characterized in Commissioning (435 citations)
Depth-related structure and ecological significance of cold-seep communities—a case study from the Sea of Okhotsk (174 citations)"
Sergey Lytkin,Kazakh-British Technical University,KZ,"Remote Sensing and LiDAR Applications
3D Surveying and Cultural Heritage
Infrastructure Maintenance and Monitoring","SCAN-TO-BIM METHODOLOGY ADAPTED FOR DIFFERENT APPLICATION (59 citations)
Deformation monitoring using laser scanned point clouds and BIM (13 citations)
Features of information modeling of cultural heritage objects (8 citations)"
Igor Nelin,Moscow Aviation Institute,RU,"Ultrasound and Hyperthermia Applications
Wireless Body Area Networks
Advanced Computational Techniques in Science and Engineering","CREATION OF A NEURAL NETWORK ALGORITHM FOR AUTOMATED COLLECTION AND ANALYSIS OF STATISTICS OF EXCHANGE QUOTES GRAPHICS (14 citations)
Research of a microwave radiometer for monitoring of internal temperature of biological tissues (14 citations)
System of Rational Parameters of Antennas for Designing a Multi-channel Multi-frequency Medical Radiometer (13 citations)"
O V Zamkovoy,Dnipro University of Technology,UA,"Metallurgical Processes and Thermodynamics
Material Properties and Applications
Metal Extraction and Bioleaching","Thermodynamic Model of the Process of Desulfurization of a Black Ferronickel in a Ladle (2 citations)
Improvement of the Process of Conducting Arc-Free Ferronickel Melting in a Six-Electrode Furnace (2 citations)
Distribution of Nickel in the Slags of Electrothermal Ferronickel Production and Technological Schemes of Its Utilization (0 citations)"
Vladislav Zamkovoy,,,"Traffic Prediction and Management Techniques
Data Visualization and Analytics
Anomaly Detection Techniques and Applications","Logistics, Graphs, and Transformers: Towards Improving Travel Time Estimation (4 citations)
Logistics, Graphs, and Transformers: Towards improving Travel Time Estimation (0 citations)"
Yan Soibelman,,,"Algebraic structures and combinatorial models
Homotopy and Cohomology in Algebraic Topology
Advanced Topics in Algebra","Stability structures, motivic Donaldson-Thomas invariants and cluster transformations (763 citations)
HOMOLOGICAL MIRROR SYMMETRY AND TORUS FIBRATIONS (394 citations)
Cohomological Hall algebra, exponential Hodge structures and motivic Donaldson–Thomas invariants (364 citations)"
Zulema Kogan,,,"Celiac Disease Research and Management
Microscopic Colitis
Helicobacter pylori-related gastroenterology studies","Budesonide enema in pouchitis—a double‐blind, double‐dummy, controlled trial (165 citations)
The Enteric Nervous System in Chagasic and Idiopathic Megacolon (161 citations)
Accuracy of Testing for Antibodies to Synthetic Gliadin–Related Peptides in Celiac Disease (152 citations)"
А. А. Тітаренко,,,"Photonic and Optical Devices
Optical Coatings and Gratings
Legal and Regulatory Analysis","Особливості розвитку рухових здібностей у хлопчиків молодшого шкільного віку (22 citations)
Investigation of the possibility to develop radiation-hardness LSIs for navigational purposes according to the 0.35-μm domestic CMOS SOI technology (19 citations)
Diamond-Like Carbon Film Deposition Using DC Ion Source with Cold Hollow Cathode (11 citations)"
Anna V. Korolkova,Peoples' Friendship University of Russia,RU,"Network Traffic and Congestion Control
Algebraic and Geometric Analysis
Simulation Techniques and Applications","Designing installations for verification of the model of active queue management discipline RED in the GNS3 (28 citations)
Stochastic Runge–Kutta Software Package for Stochastic Differential Equations (22 citations)
Hybrid Simulation Of Active Traffic Management (12 citations)"
А. Исаков,National Institute for Subatomic Physics,NL,"High-Energy Particle Collisions Research
Particle physics theoretical and experimental studies
Quantum Chromodynamics and Particle Interactions","Unveiling the strong interaction among hadrons at the LHC (196 citations)
The ALICE experiment: a journey through QCD (163 citations)
Measurements of inclusive jet spectra in p p and central Pb-Pb collisions at s N N = 5.02 TeV (98 citations)"
Д. А. Коваленко,Institute of Metallurgy,RU,"Enterprise Management and Information Systems
Carbon Nanotubes in Composites
Diamond and Carbon-based Materials Research","Synthesis and characterization of carbon nanowalls on different substrates by radio frequency plasma enhanced chemical vapor deposition (144 citations)
Detonation nanodiamonds biofunctionalization and immobilization to titanium alloy surfaces as first steps towards medical application (19 citations)
Synthesis of copper nanoparticles stabilized by polyoxyethylenesorbitan monooleate (7 citations)"
С. М. Ковалев,Yandex (Russia),RU,"Arctic and Antarctic ice dynamics
Climate change and permafrost
Cryospheric studies and observations","KNOWLEDGE BASE DESIGN FOR THE INTELLIGENT SYSTEM FOR CONTROL AND PREVENTIONS OF RISK SITUATIONS IN THE DESIGN STAGE OF COMPLEX TECHNICAL SYSTEMS (15 citations)
New information about the seismicity of the Russian Arctic based on the work of the seismic station “Severnaya Zemlya” (12 citations)
Physical and Mechanical Characteristics of Sea Ice in the Kara and Laptev Seas (9 citations)"
Alexander I. Efimov,,,"Algebraic structures and combinatorial models
Homotopy and Cohomology in Algebraic Topology
Advanced Topics in Algebra","Cohomological Hall algebra of a symmetric quiver (79 citations)
Homological mirror symmetry for punctured spheres (77 citations)
Homological mirror symmetry for curves of higher genus (74 citations)"
Bernd Siebert,The University of Texas at Austin,US,"Algebraic Geometry and Number Theory
Nuclear Physics and Applications
Nuclear reactor physics and engineering","The use of a Monte Carlo method for evaluating uncertainty and expanded uncertainty (254 citations)
Logarithmic Gromov-Witten invariants (241 citations)
From real affine geometry to complex geometry (234 citations)"
Damien Gayet,,,"Geometry and complex manifolds
Geometric Analysis and Curvature Flows
Algebraic Geometry and Number Theory","Betti numbers of random real hypersurfaces and determinants of random\n symmetric matrices (53 citations)
Symplectic hypersurfaces in the complement of an isotropic submanifold (43 citations)
Expected topology of random real algebraic submanifolds (41 citations)"
Dmitri Olegovich Orlov,Steklov Mathematical Institute,RU,"Algebraic structures and combinatorial models
Homotopy and Cohomology in Algebraic Topology
Advanced Topics in Algebra","Equivalences of derived categories andK3 surfaces (452 citations)
Triangulated categories of singularities and D-branes in Landau-Ginzburg models (435 citations)
Semiorthogonal decomposition for algebraic varieties (386 citations)"
Ivan Smith,University of Cambridge,GB,"Geometric and Algebraic Topology
Homotopy and Cohomology in Algebraic Topology
Algebraic Geometry and Number Theory","Quadratic differentials as stability conditions (168 citations)
A link invariant from the symplectic geometry of nilpotent slices (151 citations)
Symplectic Conifold Transitions (97 citations)"
J. Elisenda Grigsby,Salesforce (United States),US,"Geometric and Algebraic Topology
Homotopy and Cohomology in Algebraic Topology
Advanced Combinatorial Mathematics","Grid Diagrams for Lens Spaces and Combinatorial Knot Floer Homology (75 citations)
On the colored Jones polynomial, sutured Floer homology, and knot Floer homology (36 citations)
Grid diagrams and Legendrian lens space links (25 citations)"
Jean-Paul Mohsen,Institut de Mathématiques de Marseille,FR,"Geometric Analysis and Curvature Flows
Geometry and complex manifolds
Geometric and Algebraic Topology","Symplectic hypersurfaces in the complement of an isotropic submanifold (43 citations)
Transversalité quantitative en géométrie symplectique : sous-variétés et hypersurfaces (5 citations)
Transversalit\'e quantitative en g\'eom\'etrie symplectique : sous-vari\'et\'es et hypersurfaces (3 citations)"
Ludmil Katzarkov,,,"Homotopy and Cohomology in Algebraic Topology
Algebraic Geometry and Number Theory
Algebraic structures and combinatorial models","Hodge theoretic aspects of mirror symmetry (257 citations)
Mirror symmetry for Del Pezzo surfaces: Vanishing cycles and coherent sheaves (190 citations)
Mirror symmetry for weighted projective planes and their noncommutative deformations (183 citations)"
